LP	Substancja	EAN	Nazwa	Postać	Dawka	Zawartość	Wskazania	Odpłatność	Dopłata
30	Acidum tranexamicum	05909990036011	Exacyl	roztwór doustny	1 g/10 ml	5 amp.po 10 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	7,11
31	Acidum tranexamicum	05909990035915	Exacyl	tabletki powlekane	500 mg	20 szt. (2 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	7,56
32	Acidum tranexamicum	05909991313692	Tranexamic acid Accord	roztwór do wstrzykiwań	100 mg/ml	5 amp.po 5 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	5,22
33	Acidum ursodeoxycholicum	05909991203924	Proursan	kapsułki	250 mg	90 szt.	Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby; cholestaza ciężarnych	30%	41,68
34	Acidum ursodeoxycholicum	05909990414741	Ursocam	tabletki	250 mg	100 szt.	Pierwotna żółciowa marskość wątroby w początkowym stadium choroby; cholestaza ciężarnych	30%	24,88
35	Acidum ursodeoxycholicum	05909991314675	Ursocam	tabletki	250 mg	90 szt.	Pierwotna żółciowa marskość wątroby w początkowym stadium choroby; cholestaza ciężarnych	30%	22,51
36	Acidum ursodeoxycholicum	05909990798223	Ursopol	kapsułki twarde	300 mg	50 szt.	Pierwotna żółciowa marskość wątroby w początkowym stadium choroby; cholestaza ciężarnych	30%	15,20
37	Acidum ursodeoxycholicum	05909991325794	Ursoxyn	kapsułki twarde	250 mg	100 szt.	Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby; cholestaza ciężarnych	30%	24,55
38	Acidum ursodeoxycholicum	05909991325770	Ursoxyn	kapsułki twarde	250 mg	50 szt.	Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby; cholestaza ciężarnych	30%	12,88
39	Acidum valproicum	05909990023813	Convulex	kaps. miękkie	500 mg	100 szt.	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	3,56
40	Acidum valproicum	05909990023813	Convulex	kaps. miękkie	500 mg	100 szt.	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	0,00
41	Acidum valproicum	05909990244317	Convulex 150	kaps. miękkie	150 mg	100 szt.	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	8,28
42	Acidum valproicum	05909990244317	Convulex 150	kaps. miękkie	150 mg	100 szt.	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	5,08
43	Acidum valproicum	05909990244416	Convulex 300	kaps. miękkie	300 mg	100 szt.	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	4,29
44	Acidum valproicum	05909990244416	Convulex 300	kaps. miękkie	300 mg	100 szt.	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	1,09
45	Acidum valproicum + Natrii valproas	05909990694327	Depakine Chrono 300	tabl. powl. o przedłużonym uwalnianiu	87+200 mg	30 szt. (blist.)	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	6,05
46	Acidum valproicum + Natrii valproas	05909990694327	Depakine Chrono 300	tabl. powl. o przedłużonym uwalnianiu	87+200 mg	30 szt. (blist.)	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	2,85
47	Acidum valproicum + Natrii valproas	05909991210328	Depakine Chrono 500	tabl. powl. o przedłużonym uwalnianiu	145+333 mg	30 szt.	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	3,20
48	Acidum valproicum + Natrii valproas	05909991210328	Depakine Chrono 500	tabl. powl. o przedłużonym uwalnianiu	145+333 mg	30 szt.	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	0,00
49	Acidum valproicum + Natrii valproas	05909991229610	Depakine Chrono 500	tabl. powl. o przedłużonym uwalnianiu	145+333 mg	30 szt.	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	3,20
50	Acidum valproicum + Natrii valproas	05909991229610	Depakine Chrono 500	tabl. powl. o przedłużonym uwalnianiu	145+333 mg	30 szt.	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	0,00
51	Acidum valproicum + Natrii valproas	05909990694426	Depakine Chrono 500	tabl. powl. o przedłużonym uwalnianiu	145+333 mg	30 szt. (blist.)	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	3,20
52	Acidum valproicum + Natrii valproas	05909990694426	Depakine Chrono 500	tabl. powl. o przedłużonym uwalnianiu	145+333 mg	30 szt. (blist.)	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	0,00
53	Acidum valproicum + Natrii valproas	05909990425693	Depakine Chronosphere 100	granulat o przedłużonym uwalnianiu	29.03+66.66 mg	30 sasz.po 303 mg	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	5,34
54	Acidum valproicum + Natrii valproas	05909990425693	Depakine Chronosphere 100	granulat o przedłużonym uwalnianiu	29.03+66.66 mg	30 sasz.po 303 mg	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	2,14
55	Acidum valproicum + Natrii valproas	05909990425754	Depakine Chronosphere 1000	granulat o przedłużonym uwalnianiu	290.27+666.60 mg	30 sasz.po 3030 mg	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	9,89
56	Acidum valproicum + Natrii valproas	05909990425754	Depakine Chronosphere 1000	granulat o przedłużonym uwalnianiu	290.27+666.60 mg	30 sasz.po 3030 mg	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	6,69
57	Acidum valproicum + Natrii valproas	05909990425709	Depakine Chronosphere 250	granulat o przedłużonym uwalnianiu	72.61+166.76 mg	30 sasz.po 758 mg	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	8,17
58	Acidum valproicum + Natrii valproas	05909990425709	Depakine Chronosphere 250	granulat o przedłużonym uwalnianiu	72.61+166.76 mg	30 sasz.po 758 mg	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	4,97
59	Acidum valproicum + Natrii valproas	05909990425730	Depakine Chronosphere 500	granulat o przedłużonym uwalnianiu	145.14+333.30 mg	30 sasz.po 1515 mg	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	7,68
60	Acidum valproicum + Natrii valproas	05909990425730	Depakine Chronosphere 500	granulat o przedłużonym uwalnianiu	145.14+333.30 mg	30 sasz.po 1515 mg	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	4,48
61	Acidum valproicum + Natrii valproas	05909990425747	Depakine Chronosphere 750	granulat o przedłużonym uwalnianiu	217.75+500.06 mg	30 sasz.po 2273 mg	Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	8,75
62	Acidum valproicum + Natrii valproas	05909990425747	Depakine Chronosphere 750	granulat o przedłużonym uwalnianiu	217.75+500.06 mg	30 sasz.po 2273 mg	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	5,55
63	Acidum valproicum + Natrii valproas	05909990619658	ValproLEK 300	tabl. o przedłużonym uwalnianiu	87+200 mg	30 szt. (3 blist.po 10 szt.)	<1>Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	3,20
64	Acidum valproicum + Natrii valproas	05909990619658	ValproLEK 300	tabl. o przedłużonym uwalnianiu	87+200 mg	30 szt. (3 blist.po 10 szt.)	<2>Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	0,00
65	Acidum valproicum + Natrii valproas	05909990619672	ValproLEK 500	tabl. o przedłużonym uwalnianiu	145+333 mg	30 szt. (3 blist.po 10 szt.)	<1>Padaczka; neuralgia lub neuropatia w obrębie twarzy	ryczałt	3,20
66	Acidum valproicum + Natrii valproas	05909990619672	ValproLEK 500	tabl. o przedłużonym uwalnianiu	145+333 mg	30 szt. (3 blist.po 10 szt.)	<2>Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	0,00
67	Acidum zoledronicum	05909991009250	Desinobon	koncentrat do sporządzania roztworu do infuzji	4 mg/5 ml	1 fiol.po 5 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	16,65
68	Acidum zoledronicum	05909991078577	Fayton	roztwór do infuzji	4 mg/100 ml	1 fiol.po 100 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	10,98
69	Acidum zoledronicum	05909991016197	Fayton	koncentrat do sporządzania roztworu do infuzji	4 mg/5 ml	1 fiol.po 5 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	10,98
70	Acidum zoledronicum	05909991228392	Osporil	roztwór do infuzji	4 mg/100 ml	1 fiol.po 100 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	17,78
71	Acidum zoledronicum	05909991103163	Zerlinda	roztwór do infuzji	4 mg/100 ml	1 worek po 100 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	14,16
72	Acidum zoledronicum	05055565711958	Zoledronic acid Accord	koncentrat do sporządzania roztworu do infuzji	4 mg/5 ml	1 fiol. (5 ml)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
73	Acidum zoledronicum	05909990975730	Zoledronic acid Actavis	koncentrat do sporządzania roztworu do infuzji	4 mg/5 ml	1 fiol.po 5 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	10,98
74	Acidum zoledronicum	05909990975747	Zoledronic acid Actavis	koncentrat do sporządzania roztworu do infuzji	4 mg/5 ml	4 fiol. (5 ml)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
75	Acidum zoledronicum	05909990948994	Zomikos	koncentrat do sporządzania roztworu do infuzji	4 mg/5 ml	1 fiol.po 5 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	14,38
76	Acitretinum	05909990907755	Acitren	kapsułki twarde	10 mg	100 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
77	Acitretinum	05909990907731	Acitren	kapsułki twarde	10 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	8,29
78	Acitretinum	05909990907786	Acitren	kapsułki twarde	25 mg	100 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	7,62
79	Acitretinum	05909990907762	Acitren	kapsułki twarde	25 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
80	Acitretinum	05909990697021	Neotigason	kapsułki	10 mg	100 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
81	Acitretinum	05909990854462	Neotigason	kapsułki	10 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	8,29
82	Acitretinum	05909990696925	Neotigason	kapsułki	25 mg	100 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	7,62
83	Adrenalinum	05909991069711	Adrenalina WZF	roztwór do wstrzykiwań	300 μg/0.3 ml	1 amp.-strz.po 1 ml	Leczenie doraźne w nagłych przypadkach ostrych reakcji alergicznych (anafilaksji), wywołanych przez pokarmy, leki, ukąszenia i użądlenia owadów oraz inne alergeny, jak również w przypadku anafilaksji samoistnej; 	50%	27,82
84	Adrenalinum	05909990182510	Adrenalina WZF 0.1%	roztwór do wstrzykiwań	1 mg/ml	10 amp.po 1 ml	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
85	Agomelatinum	05909991388768	Agolek	tabletki powlekane	25 mg	28 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	21,25
86	Agomelatinum	05901720140494	Agomelatine +pharma	tabletki powlekane	25 mg	30 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	19,69
87	Agomelatinum	05901720140418	Agomelatine +pharma	tabletki powlekane	25 mg	90 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	54,67
88	Agomelatinum	05909991387266	Agomelatine Adamed	tabletki powlekane	25 mg	28 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	22,39
89	Agomelatinum	09008732009293	Agomelatine G.L. Pharma	tabletki powlekane	25 mg	28 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	18,22
90	Agomelatinum	05909991395018	Agomelatine NeuroPharma	tabletki powlekane	25 mg	28 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	21,25
91	Agomelatinum	05995327174952	Agomelatyna Egis	tabletki powlekane	25 mg	28 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	20,69
92	Agomelatinum	03838989699352	Lamegom	tabletki powlekane	25 mg	28 tabl.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	22,39
93	Agomelatinum	05909991419172	Sedival	tabletki powlekane	25 mg	28 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	18,98
94	Agomelatinum	05909991391423	Symago	tabletki powlekane	25 mg	28 szt.	Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii; 	30%	20,12
95	Alergeny kurzu domowego	05909990001118	Novo-Helisen Depot	zawiesina do wstrzykiwań	stężenie: 1 - 50 TU/ml lub 50 PNU/ml; 2 - 500 TU/ml lub 500 PNU/ml; 3 - 5000 TU/ml lub 5000 PNU/ml	3 fiol.po 4,5 ml (stężenia 1-3)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	19,41
96	Alergeny pyłków roślin	05909990001323	Allergovit	zawiesina do wstrzykiwań	stężenie B - 10000 TU/ml	1 fiol.po 3 ml (stężenie B) + 10 strz. + 10 igieł	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	77,24
97	Alergeny pyłków roślin	05909990001316	Allergovit	zawiesina do wstrzykiwań	stężenie: A - 1000 TU/ml; B- 10000 TU/ml	2 fiol.po 3 ml (stężenie A i B) + 10 strz. + 10 igieł	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	82,05
98	Alergeny pyłków roślin	05909990975310	Purethal	zawiesina do wstrzykiwań	20000 AUM/ml	1 fiol.po 3 ml + 8 strz. z igłą	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
99	Alergeny pyłków roślin	05909990975419	Purethal	zawiesina do wstrzykiwań	20000 AUM/ml	1 fiol.po 3 ml + 8 strz. z igłą	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
100	Alfacalcidolum	05909990296828	Alfadiol	kaps. miękkie	0.25 µg	100 szt. (2 blist.po 50 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	8,84
101	Alfacalcidolum	05909990296927	Alfadiol	kaps. miękkie	1 µg	100 szt. (2 blist.po 50 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	10,67
102	Alfuzosini hydrochloridum	05909991288457	Dalfaz Uno	tabl. o przedł. uwalnianiu	10 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	4,27
103	Alfuzosini hydrochloridum	05909991392055	Dalfaz Uno	tabl. o przedł. uwalnianiu	10 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	4,27
104	Alfuzosinum	05909990746576	Alfabax	tabl. o przedłużonym uwalnianiu	10 mg	30 szt. (3 blist.po 10 szt.)	Przerost gruczołu krokowego; 	ryczałt	4,27
105	Alfuzosinum	05909991291945	Alfurion	tabl. o przedł. uwalnianiu	10 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	4,27
106	Alfuzosinum	05909990619580	Alfuzostad 10 mg	tabl. o przedłużonym uwalnianiu	10 mg	30 szt. (3 blist.po 10 szt.)	Przerost gruczołu krokowego; 	ryczałt	4,27
107	Alfuzosinum	05909990037933	Alugen 10 mg	tabl. o przedłużonym uwalnianiu	10 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	4,27
108	Alfuzosinum	05909990812714	Dalfaz SR 5	tabl. powl. o przedłużonym uwalnianiu	5 mg	20 szt.	Przerost gruczołu krokowego; 	ryczałt	5,94
109	Alfuzosinum	05909990837816	Dalfaz Uno	tabl. o przedłużonym uwalnianiu	10 mg	30 szt.	Przerost gruczołu krokowego; 	ryczałt	11,22
110	Allopurinolum	05909990109418	Allupol	tabletki	100 mg	50 szt. (2 blist.po 25 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
111	Allopurinolum	05909991316228	Allupol	tabletki	300 mg	30 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
112	Allopurinolum	05907626706529	Argadopin	tabletki	100 mg	100 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
113	Allopurinolum	05907626706505	Argadopin	tabletki	100 mg	50 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
114	Allopurinolum	05907626706628	Argadopin	tabletki	300 mg	100 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	8,00
115	Allopurinolum	05907626706604	Argadopin	tabletki	300 mg	30 szt	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
116	Allopurinolum	05909990163212	Milurit	tabletki	100 mg	50 szt. (1 opak.po 50 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
117	Allopurinolum	05909990414819	Milurit	tabletki	300 mg	30 szt. (1 opak.po 30 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	3,20
118	Amantadinum	05909990320912	Viregyt-K	kapsułki	100 mg	50 szt.	Choroba i zespół Parkinsona; dyskineza późna u osób dorosłych - leczenie	30%	6,08
119	Ambenonium	05909990030927	Mytelase	tabletki	10 mg	50 szt	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	30%	6,14
120	Amiloridum + Hydrochlorothiazidum	05909990206025	Tialorid	tabletki	5+50 mg	50 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>przewlekła choroba nerek u dzieci do 18 roku życia; <2>moczówka nerkopochodna	30%	2,58
121	Amiloridum + Hydrochlorothiazidum	05909990373819	Tialorid mite	tabletki	2.5+25 mg	50 tabl.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1>przewlekła choroba nerek u dzieci do 18 roku życia; <2>moczówka nerkopochodna	30%	3,33
122	Amiodaronum	05909990086818	Opacorden	tabletki powlekane	200 mg	60 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; 	ryczałt	6,40
123	Amisulpridum	05909991412876	Amipryd	tabletki	100 mg	30 szt.	Schizofrenia; 	ryczałt	5,71
124	Amisulpridum	05909991412883	Amipryd	tabletki	200 mg	30 szt.	Schizofrenia; 	ryczałt	5,19
125	Amisulpridum	05909991412906	Amipryd	tabletki	400 mg	30 szt.	Schizofrenia; 	ryczałt	3,20
126	Amisulpridum	05909990762965	Amisan	tabletki	200 mg	30 szt. (3 blist.po 10 szt.)	Schizofrenia; 	ryczałt	3,20
127	Amisulpridum	05909990762972	Amisan 	tabletki	200 mg	60 szt. (6 blist.po 10 szt.)	Schizofrenia; 	ryczałt	3,20
128	Amisulpridum	05909990762996	Amisan	tabletki	400 mg	30 szt. (3 blist.po 10 szt.)	Schizofrenia; 	ryczałt	3,20
129	Amisulpridum	05909990763009	Amisan	tabletki	400 mg	60 szt. (6 blist.po 10 szt.)	Schizofrenia; 	ryczałt	6,40
130	Amisulpridum	05909990762880	Amisan 	tabletki	50 mg	60 szt. (5 blist.po 12)	Schizofrenia; 	ryczałt	6,15
131	Amisulpridum	05909991348557	ApoSuprid	tabletki	200 mg	30 szt.	Schizofrenia; 	ryczałt	5,30
132	Amisulpridum	05909991348649	ApoSuprid	tabletki powlekane	400 mg	30 szt.	Schizofrenia; 	ryczałt	3,20
133	Amisulpridum	05909990840816	Solian	tabletki	100 mg	30 szt.	Schizofrenia; 	ryczałt	6,15
134	Amisulpridum	05909990840915	Solian	tabletki	200 mg	30 szt.	Schizofrenia; 	ryczałt	6,10
135	Amisulpridum	05909990841011	Solian	tabletki powlekane	400 mg	30 szt.	Schizofrenia; 	ryczałt	3,53
136	Amisulpridum	05909991410773	Symamis	tabletki	200 mg	30 szt.	Schizofrenia; 	ryczałt	5,25
137	Amisulpridum	05909991410803	Symamis	tabletki	400 mg	30 szt.	Schizofrenia; 	ryczałt	3,20
138	Amitriptilinum	05909991049010	Amitriptylinum VP	tabletki powlekane	10 mg	60 szt. (2 blist.po 30 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; neuralgia; ból neuropatyczny	30%	5,76
139	Amitriptilinum	05909991049010	Amitriptylinum VP	tabletki powlekane	10 mg	60 szt. (2 blist.po 30 szt.)	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	5,39
140	Amitriptilinum	05909991048914	Amitriptylinum VP	tabletki powlekane	25 mg	60 szt. (2 blist.po 30 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; neuralgia; ból neuropatyczny	30%	9,01
141	Amitriptilinum	05909991048914	Amitriptylinum VP	tabletki powlekane	25 mg	60 szt. (2 blist.po 30 szt.)	Choroby psychiczne lub upośledzenia umysłowe; 	bezpłatny do limitu	8,08
