LP	Substancja	EAN	Nazwa	Postać	Dawka	Zawartość	Wskazania	Odpłatność	Dopłata
28	Agalsidasum beta	05909990971213	Fabrazyme	proszek do przygotowania koncentratu do sporządzania roztworu do infuzji	35 mg	1 fiol.	dostępne w ramach programu lekowego	bezpłatny	0
29	Agalsidasum beta	05909990013654	Fabrazyme	proszek do przygotowania koncentratu do sporządzania roztworu do infuzji	5 mg	1 fiol.	dostępne w ramach programu lekowego	bezpłatny	0
30	Alectinibum	05902768001143	Alecensa	kapsułki twarde	150 mg	224 szt.	dostępne w ramach programu lekowego	bezpłatny	0
31	Alemtuzumabum	05909991088156	Lemtrada	koncetrat do sporządzania roztworu do infuzji	12 mg	1 fiol.	dostępne w ramach programu lekowego	bezpłatny	0
32	Alglucosidasum alfa	05909990623853	Myozyme	proszek do przygotowania koncentratu do sporządzania roztworu do infuzji	50 mg	1 fiol.po 20 ml	dostępne w ramach programu lekowego	bezpłatny	0
33	Alirocumabum	05909991236618	Praluent	roztwór do wstrzykiwań	150 mg	2 wstrzykiwacze	dostępne w ramach programu lekowego	bezpłatny	0
34	Anakinrum	07350031442090	Kineret	roztwór do wstrzykiwań	100 mg/0,67 ml	7 amp.-strz. po 0,67 ml	dostępne w ramach programu lekowego	bezpłatny	0
35	Apomorphini hydrochloridum hemihydricum	05909991247904	Dacepton	roztwór do infuzji	5 mg/ml	5 fiol.a 20 ml	dostępne w ramach programu lekowego	bezpłatny	0
36	Atezolizumabum	05902768001167	Tecentriq	koncentrat do sporządzania roztworu do infuzji	1200 mg	1 fiol.a 20 ml	dostępne w ramach programu lekowego	bezpłatny	0
37	Axitinibum	05909991004439	Inlyta	tabletki powlekane	1 mg	56 szt.	dostępne w ramach programu lekowego	bezpłatny	0
38	Axitinibum	05909991004460	Inlyta	tabletki powlekane	5 mg	56 szt.	dostępne w ramach programu lekowego	bezpłatny	0
39	Baricitinibum	03837000170825	Olumiant	tabletki powlekane	4 mg	35 szt.	dostępne w ramach programu lekowego	bezpłatny	0
40	Benralizumab	05000456031516	Fasenra	roztwór do wstrzykiwań w ampułko-strzykawce	30 mg	1 amp.-strz. a 1 ml	dostępne w ramach programu lekowego	bezpłatny	0
41	Betainum anhydricum	05909990031900	Cystadane	proszek doustny	1 g	180 g	dostępne w ramach programu lekowego	bezpłatny	0
42	Bevacizumabum	05909990010486	Avastin	koncentrat do sporządzania roztworu do infuzji	100 mg/4 ml	1 fiol.po 4 ml	dostępne w ramach programu lekowego	bezpłatny	0
43	Bevacizumabum	05909990010493	Avastin	koncentrat do sporządzania roztworu do infuzji	400 mg/16 ml	1 fiol.po 16 ml	dostępne w ramach programu lekowego	bezpłatny	0
45	Bevacizumabum	08715131021870	Mvasi	koncentrat do sporządzania roztworu do infuzji	25 mg/ml	1 fiol.a 16 ml	dostępne w ramach programu lekowego	bezpłatny	0
44	Bevacizumabum	08715131021863	Mvasi	koncentrat do sporządzania roztworu do infuzji	25 mg/ml	1 fiol.a 4 ml	dostępne w ramach programu lekowego	bezpłatny	0
46	Bevacizumabum	05415062349342	Zirabev	koncentrat do sporządzania roztworu do infuzji	25 mg/ml	1 fiol.a 16 ml	dostępne w ramach programu lekowego	bezpłatny	0
47	Bevacizumabum	05415062349359	Zirabev	koncentrat do sporządzania roztworu do infuzji	25 mg/ml	1 fiol.a 4 ml	dostępne w ramach programu lekowego	bezpłatny	0
48	Bexarotenum	05909990213504	Targretin	kaps. miękkie	75 mg	100 szt.	dostępne w ramach programu lekowego	bezpłatny	0
49	Binimetinib	03573994003922	Mektovi	tabletki powlekane	15 mg	84 szt.	dostępne w ramach programu lekowego	bezpłatny	0
50	Blinatumomabum	05909991256371	Blincyto	proszek do sporządzania koncentratu roztworu do infuzji	38,5 µg	1 fiol.prosz. + 1 fiol.roztw.stabilizującego 10ml	dostępne w ramach programu lekowego	bezpłatny	0
51	Bosentanum	05909991102869	Bopaho	tabletki powlekane	125 mg	56 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
52	Bosentanum	05909991102807	Bopaho	tabletki powlekane	62,5 mg	56 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
53	Bosentanum	05907626708004	Bosentan Sandoz GmbH	tabletki powlekane	125 mg	56 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
54	Bosutinibum	05909991056841	Bosulif	tabletki powlekane	100 mg	28 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
55	Bosutinibum	05909991056865	Bosulif	tabletki powlekane	500 mg	28 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
56	Brentuximabum vedotinum	05909991004545	Adcetris	proszek do sporządzania koncentratu roztworu do infuzji	50 mg	1 fiol.	dostępne w ramach programu lekowego	bezpłatny	0
57	Brigatinib	07038319119956	Alunbrig	tabletki powlekane	180 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
58	Brigatinib	07038319119963	Alunbrig	tabletki powlekane	90 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
59	Brigatinib	07038319120112	Alunbrig	tabletki powlekane	90 mg	7 szt.	dostępne w ramach programu lekowego	bezpłatny	0
60	Cabozantinibum	03582186003947	Cabometyx	tabl. powi.	20 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
61	Cabozantinibum	03582186003954	Cabometyx	tabl. powi.	40 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
62	Cabozantinibum	03582186003961	Cabometyx	tabl. powi.	60 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
63	Ceritinibum	05909991220075	Zykadia	kapsułki twarde	150 mg	150 szt.	dostępne w ramach programu lekowego	bezpłatny	0
64	Certolizumabum pegol	05909990734894	Cimzia	roztwór do wstrzykiwań w amp.-strz.	200 mg/ml	2 amp.-strz.	dostępne w ramach programu lekowego	bezpłatny	0
66	Cetuximabum	05909990035946	Erbitux	roztwór do infuzji	5 mg/ml	1 fiol.po 100 ml	dostępne w ramach programu lekowego	bezpłatny	0
65	Cetuximabum	05909990035922	Erbitux	roztwór do infuzji	5 mg/ml	1 fiol.po 20 ml	dostępne w ramach programu lekowego	bezpłatny	0
67	Cinacalcetii hydrochloridum	05902020926887	Cinacalcet Mylan	tabletki powlekane	30 mg	28 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
68	Cinacalcetii hydrochloridum	05902020926894	Cinacalcet Mylan	tabletki powlekane	60 mg	28 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
69	Cinacalcetum	05909991256654	Cinacalcet Accord	tabletki powlekane	30 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
70	Cinacalcetum	05909991256685	Cinacalcet Accord	tabletki powlekane	60 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
71	Cinacalcetum	05909991256715	Cinacalcet Accord	tabletki powlekane	90 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
72	Cinacalcetum	05909990016297	Mimpara	tabletki powlekane	30 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
73	Cinacalcetum	05909990016341	Mimpara	tabletki powlekane	60 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
74	Cinacalcetum	05909990016389	Mimpara	tabletki powlekane	90 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
75	Cladribinum	04054839365331	Mavenclad	tabletki	10 mg	1 szt.	dostępne w ramach programu lekowego	bezpłatny	0
76	Cladribinum	04054839365348	Mavenclad	tabletki	10 mg	4 szt.	dostępne w ramach programu lekowego	bezpłatny	0
77	Cladribinum	04054839365355	Mavenclad	tabletki	10 mg	6 szt.	dostępne w ramach programu lekowego	bezpłatny	0
78	Cobimetinibum	05902768001136	Cotellic	tabletki powlekane	20 mg	63 szt.	dostępne w ramach programu lekowego	bezpłatny	0
79	Crizotinibum	05909991004484	Xalkori	kapsułki twarde	200 mg	60 szt.	dostępne w ramach programu lekowego	bezpłatny	0
80	Crizotinibum	05909991004507	Xalkori	kapsułki twarde	250 mg	60 szt.	dostępne w ramach programu lekowego	bezpłatny	0
82	Dabrafenibum	05909991078591	Tafinlar	kapsułki twarde	50 mg	120 szt.	dostępne w ramach programu lekowego	bezpłatny	0
81	Dabrafenibum	05909991078584	Tafinlar	kapsułki twarde	50 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
84	Dabrafenibum	05909991078645	Tafinlar	kapsułki twarde	75 mg	120 szt.	dostępne w ramach programu lekowego	bezpłatny	0
83	Dabrafenibum	05909991078607	Tafinlar	kapsułki twarde	75 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
86	Daratumumabum	05909991275235	Darzalex	koncentrat do sporządzania roztworu do infuzji	20 mg/ml	1 fiol. 20 ml	dostępne w ramach programu lekowego	bezpłatny	0
85	Daratumumabum	05909991275228	Darzalex	koncentrat do sporządzania roztworu do infuzji	20 mg/ml	1 fiol. 5 ml	dostępne w ramach programu lekowego	bezpłatny	0
87	Darbepoetinum alfa	05909990738779	Aranesp	roztwór do wstrzykiwań	20 μg/0,5 ml	1 amp.-strz.po 0,5 ml	dostępne w ramach programu lekowego	bezpłatny	0
88	Darbepoetinum alfa	05909990738793	Aranesp	roztwór do wstrzykiwań	30 μg/0,3 ml	1 amp.-strz.po 0,3 ml	dostępne w ramach programu lekowego	bezpłatny	0
89	Darbepoetinum alfa	05909990738847	Aranesp	roztwór do wstrzykiwań	40 μg/0,4 ml	1 amp.-strz.po 0,4 ml	dostępne w ramach programu lekowego	bezpłatny	0
90	Darbepoetinum alfa	05909990738861	Aranesp	roztwór do wstrzykiwań	50 μg/0,5 ml	1 amp.-strz.po 0,5 ml	dostępne w ramach programu lekowego	bezpłatny	0
91	Darbepoetinum alfa	05909990738885	Aranesp	roztwór do wstrzykiwań	60 μg/0,3 ml	1 amp.-strz.po 0,3 ml	dostępne w ramach programu lekowego	bezpłatny	0
92	Dazatynib	05909990671601	Sprycel	tabletki powlekane	100 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
93	Dazatynib	05909990818655	Sprycel	tabletki powlekane	140 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
94	Dazatynib	05909990621323	Sprycel	tabletki powlekane	20 mg	60 szt.	dostępne w ramach programu lekowego	bezpłatny	0
95	Dazatynib	05909990621354	Sprycel	tabletki powlekane	50 mg	60 szt.	dostępne w ramach programu lekowego	bezpłatny	0
96	Dazatynib	05909990818631	Sprycel	tabletki powlekane	80 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
97	Dimethylis fumaras	00646520415445	Tecfidera	kaps. dojel. twarde	120 mg	14 kaps.	dostępne w ramach programu lekowego	bezpłatny	0
98	Dimethylis fumaras	00646520415452	Tecfidera	kaps. dojel. twarde	240 mg	56 kaps.	dostępne w ramach programu lekowego	bezpłatny	0
99	Dinutuximab beta	05060146291736	Qarziba	koncentrat do sporządzania roztworu do infuzji	4,5 mg/ml	1 fiol.po 4,5 ml	dostępne w ramach programu lekowego	bezpłatny	0
100	Durvalumabum	05000456031493	Imfinzi	koncentrat do sporządzania roztworu do infuzji	50 mg/ml	1 fiol.a 10 ml	dostępne w ramach programu lekowego	bezpłatny	0
101	Durvalumabum	05000456031486	Imfinzi	koncentrat do sporządzania roztworu do infuzji	50 mg/ml	1 fiol.a 2,4 ml	dostępne w ramach programu lekowego	bezpłatny	0
102	Eculizumabum	05909990643776	Soliris	koncentrat do sporządzania roztworu do infuzji	300 mg	1 fiol. 30 ml	dostępne w ramach programu lekowego	bezpłatny	0
103	Efmoroctocogum alfa	05909991246488	Elocta	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	1000 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania	dostępne w ramach programu lekowego	bezpłatny	0
104	Efmoroctocogum alfa	05909991246495	Elocta	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	1500 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania	dostępne w ramach programu lekowego	bezpłatny	0
105	Efmoroctocogum alfa	05909991246501	Elocta	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	2000 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania	dostępne w ramach programu lekowego	bezpłatny	0
106	Efmoroctocogum alfa	05909991246457	Elocta	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	250 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania	dostępne w ramach programu lekowego	bezpłatny	0
107	Efmoroctocogum alfa	05909991246518	Elocta	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	3000 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania	dostępne w ramach programu lekowego	bezpłatny	0
108	Efmoroctocogum alfa	05909991246464	Elocta	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	500 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 3 ml + zestaw do sporządzania i podania	dostępne w ramach programu lekowego	bezpłatny	0
109	Eftrenonacogum alpha	07350031441673	Alprolix	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	1000 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 5 ml + zestaw do podawania	dostępne w ramach programu lekowego	bezpłatny	0
110	Eftrenonacogum alpha	07350031441680	Alprolix	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	2000 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 5 ml + zestaw do podawania	dostępne w ramach programu lekowego	bezpłatny	0
111	Eftrenonacogum alpha	07350031441659	Alprolix	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	250 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 5 ml + zestaw do podawania	dostępne w ramach programu lekowego	bezpłatny	0
112	Eftrenonacogum alpha	07350031441697	Alprolix	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	3000 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 5 ml + zestaw do podawania	dostępne w ramach programu lekowego	bezpłatny	0
113	Eftrenonacogum alpha	07350031441666	Alprolix	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	500 IU	1 fiol. proszku + 1 amp.-strzyk. rozp. 5 ml + zestaw do podawania	dostępne w ramach programu lekowego	bezpłatny	0
114	Elbasvirum + Grazoprevirum	05901549325102	Zepatier	tabletki powlekane	50+100 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
115	Eliglustatum	05909991205942	Cerdelga	kapsułki twarde	84 mg	56 szt.	dostępne w ramach programu lekowego	bezpłatny	0
116	Eltrombopagum	05909990748204	Revolade	tabletki powlekane	25 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
117	Eltrombopagum	05909990748235	Revolade	tabletki powlekane	50 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
118	Encorafenibum	03573994003939	Braftovi	kapsułki twarde	50 mg	28 szt.	dostępne w ramach programu lekowego	bezpłatny	0
119	Encorafenibum	03573994003946	Braftovi	kapsułki twarde	75 mg	42 szt.	dostępne w ramach programu lekowego	bezpłatny	0
120	Entecavirum	05909991363734	Entecavir Aurovitas	tabletki powlekane	0,5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
121	Entecavirum	05909991363826	Entecavir Aurovitas	tabletki powlekane	1 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
122	Entecavirum	05909991337957	Entecavir Polpharma	tabletki powlekane	0,5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
123	Entecavirum	05909991337971	Entecavir Polpharma	tabletki powlekane	1 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
124	Entecavirum	05909991338022	Entecavir Stada	tabletki powlekane	0,5 mg	30 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
125	Entecavirum	05909991338046	Entecavir Stada	tabletki powlekane	1 mg	30 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
126	Entecavirum	05909991347451	Entecavir Synoptis	tabletki powlekane	0,5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
127	Entecavirum	05909991347468	Entecavir Synoptis	tabletki powlekane	1 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
128	Entecavirum	05909991369576	Entecavir Zentiva	tabletki powlekane	0,5 mg	30 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
129	Entecavirum	05909991369590	Entecavir Zentiva	tabletki powlekane	1 mg	30 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
130	Entecavirum	05906414003123	Entekavir Adamed 	tabletki powlekane	0,5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
131	Entecavirum	05906414003130	Entekavir Adamed 	tabletki powlekane	1 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
132	Entecavirum monohydricum	05055565742532	Entecavir Accord	tabletki powlekane	0,5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
133	Entecavirum monohydricum	05055565742549	Entecavir Accord	tabletki powlekane	1 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
134	Enzalutamidum	05909991080938	Xtandi	kapsułka miękka	40 mg	112 kaps.	dostępne w ramach programu lekowego	bezpłatny	0
135	Epoetinum alfa	05909990072378	Binocrit	roztwór do wstrzykiwań	1000 j.m./0,5 ml	6 amp.-strz.po 0,5 ml	dostępne w ramach programu lekowego	bezpłatny	0
136	Epoetinum alfa	05909990072392	Binocrit	roztwór do wstrzykiwań	2000 j.m./ml	6 amp-strz.po 1 ml	dostępne w ramach programu lekowego	bezpłatny	0
137	Epoetinum alfa	05909990072439	Binocrit	roztwór do wstrzykiwań	3000 j.m./0,3 ml	6 amp-strz.po 0,3 ml	dostępne w ramach programu lekowego	bezpłatny	0
138	Epoetinum alfa	05909990072453	Binocrit	roztwór do wstrzykiwań	4000 j.m./0,4 ml	6 amp-strz.po 0,4 ml	dostępne w ramach programu lekowego	bezpłatny	0
139	Epoprostenolum	05909991089085	Veletri	proszek do sporządzania roztworu do infuzji	0,5 mg	1 fiol.	dostępne w ramach programu lekowego	bezpłatny	0
140	Epoprostenolum	05909991089092	Veletri	proszek do sporządzania roztworu do infuzji	1,5 mg	1 fiol.	dostępne w ramach programu lekowego	bezpłatny	0
141	Etanerceptum	08809593170983	Benepali	roztwór do wstrzykiwań w ampułko-strzykawce	25 mg	4 amp.-strzyk. 0,51 ml	dostępne w ramach programu lekowego	bezpłatny	0
142	Etanerceptum	08809593170969	Benepali	roztwór do wstrzykiwań w ampułko-strzykawce	50 mg	4 amp.-wstrz.po 1 ml	dostępne w ramach programu lekowego	bezpłatny	0
143	Etanerceptum	08809593170976	Benepali	roztwór do wstrzykiwań we wstrzykiwaczu	50 mg	4 wstrz.po 1 ml	dostępne w ramach programu lekowego	bezpłatny	0
144	Etanerceptum	05909990880881	Enbrel	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań do stosowania u dzieci	10 mg/ml	4 fiol. + 4 amp.-strz.+ 4 igły + 4 nasadki na fiol. + 8 gazików	dostępne w ramach programu lekowego	bezpłatny	0
145	Etanerceptum	05909990777938	Enbrel	proszek i rozpuszczalnik do sporządzenia roztworu do wstrzykiwań	25 mg/ml	4 fiol. + 4 amp.-strz.+ 4 igły + 4 nasadki na fiol. + 8 gazików	dostępne w ramach programu lekowego	bezpłatny	0
146	Etanerceptum	05909990618255	Enbrel	roztwór do wstrzykiwań w ampułko-strzykawce	50 mg	4 amp.-strz.po 1 ml + 4 gaziki z alkoholem	dostępne w ramach programu lekowego	bezpłatny	0
147	Etanerceptum	05909990712755	Enbrel	roztwór do wstrzykiwań we wstrzykiwaczu	50 mg	4 wstrz.po 1 ml + 4 gaziki z alkoholem	dostępne w ramach programu lekowego	bezpłatny	0
148	Etanerceptum	09002260025770	Erelzi	roztwór do wstrzykiwań	25 mg	4 amp.-strzyk. 0,5 ml	dostępne w ramach programu lekowego	bezpłatny	0
150	Etanerceptum	09002260025794	Erelzi	roztwór do wstrzykiwań	50 mg	4 amp.-strzyk.	dostępne w ramach programu lekowego	bezpłatny	0
149	Etanerceptum	09002260025787	Erelzi	roztwór do wstrzykiwań	50 mg	4 wstrzykiwacze 1 ml	dostępne w ramach programu lekowego	bezpłatny	0
151	Everolimusum	05909990711598	Afinitor	tabletki	10 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
152	Everolimusum	05909990711567	Afinitor	tabletki	5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
153	Everolimusum	05909991383596	Everolimus Accord	tabletki	10 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
154	Everolimusum	05909991383480	Everolimus Accord	tabletki	2,5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
155	Everolimusum	05909991383565	Everolimus Accord	tabletki	5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
156	Everolimusum	05909991372538	Everolimus Stada	tabletki	10 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
157	Everolimusum	05909991372545	Everolimus Stada	tabletki	10 mg	90 szt.	dostępne w ramach programu lekowego	bezpłatny	0
158	Everolimusum	05909991372514	Everolimus Stada	tabletki	5 mg	30 szt.	dostępne w ramach programu lekowego	bezpłatny	0
159	Everolimusum	05909991372521	Everolimus Stada	tabletki	5 mg	90 szt.	dostępne w ramach programu lekowego	bezpłatny	0
160	Everolimusum	05909990900602	Votubia	tabletki	10 mg	30 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
161	Everolimusum	05909990900565	Votubia	tabletki	2,5 mg	30 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
162	Everolimusum	05909990900589	Votubia	tabletki	5 mg	30 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
163	Evolocumabum	05909991224370	Repatha	roztwór do wstrzykiwań	140 mg	2 wstrzykiwacze	dostępne w ramach programu lekowego	bezpłatny	0
164	Factor IX coagulationis humanus	05909990645220	Immunine 1200 IU	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	1200 j.m.	1 zestaw: fiol. proszku + fiol. rozp. +  zestaw do przenoszenia lub filtrowania + strzykawka + igła + zestaw do infuzji	dostępne w ramach programu lekowego	bezpłatny	0
165	Factor IX coagulationis humanus	05909990643110	Immunine 600 IU	proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań	600 j.m.	1 zestaw: fiol. proszku + fiol. rozp. +  zestaw do przenoszenia lub filtrowania + strzykawka + igła + zestaw do infuzji	dostępne w ramach programu lekowego	bezpłatny	0
166	Factor IX coagulationis humanus	05909990799374	Octanine F 1000 IU	proszek i rozpuszczalnik do sporządzenia roztworu do wstrzykiwań	1000 j.m.	1 fiol.	dostępne w ramach programu lekowego	bezpłatny	0
167	Factor IX coagulationis humanus	05909990799367	Octanine F 500 IU	proszek i rozpuszczalnik do sporządzenia roztworu do wstrzykiwań	500 j.m.	1 fiol.	dostępne w ramach programu lekowego	bezpłatny	0
